"HolderAddress","Balance","PendingBalanceUpdate"
"0x33854223af5c09f80949f66328f1ee4d18daa2da","413791.964294476","No"
"0x34723a4849c05b6299d8fd1658b594dd3ff4a985","2700941.78593499","No"
"0x347c24ef4c74cad4b2e765e0aee6677139e06dae","700687.941703277","No"
"0x36bb8b403846cdab5721601b008630eae76d0079","681068.241410272","No"
"0x3771726982f5aa9e15ccd9ea48c69dcd03857dec","1.23727323657985","No"
"0x37a74bcac2cfc39710b00312626a54c5d2b6506d","0.669713799171095","No"
"0x387b2279893be464cc9c42f5daa83289cf15dc5b","100000000","No"
"0x38b45e17c4a0282ecbbef27204d03771e1354ab0","1621970.89490859","No"
"0x393e09e0f58afef9798581caa2c3042d69b626dc","78138.2713585888","No"
"0x396f297f3b14a7526f19988ade3cb949d3524d97","43420.9437944321","No"
"0x39ae589159efb586358d1c6137f81d9d5c9dddf3","3001128.07734616","No"
"0x39da23edfa862c141474e3f903b3c3a3784a4cc1","158740.965027949","No"
"0x3a115f80851acfcddfc6c4233a3644bdf56508cf","1212869.82100919","No"
"0x3ae1fa9a62dc63307e04a8600542fe7953bda78e","4600074.12428114","No"
"0x3b228235aa52dd0b691777a61c5fd5a65649a75a","105094.492061736","No"
"0x3b25299878a90f7ddbbe428ba77d694e13d7d097","176123.392819595","No"
"0x3de31061a204584dffd77745da01b7eb4641f9ff","0.00105415222279114","No"
"0x3deac7b5baba0f019c9a2d7b8848c7fddb15151f","137877.548575109","No"
"0x3e7cf6bc65831c6326b623f3b8e91adf5a2662ea","2060772.8920344","No"
"0x416145ecc6d273688f4092d100a7d6668bae3a3c","2923554.77431376","No"
"0x42ecf87e95ebcced49a092d62cd7cb13ed177aee","8511.78905350878","No"
"0x43949405198b10a385959b3f53749f9267b3e3e6","2.88428276936214","No"
"0x43a9b60d1466ffa7cc0e9575e71b97c3ab7ee9aa","3805390.00946588","No"
"0x43c58dfe6512fd95e56c431af1ff2620d7c7267b","2369049.27474791","No"
"0x43d4026c6729ecb6d0b6cd0ab1715580a7adb719","45000.1755045188","No"
"0x452f89808b57c13f07db3c56739d00650d8965eb","4198047.81980199","No"
"0x45e9721d38e3aa4f56cabae25793670db3649fda","830054.408977011","No"
"0x46a12c32cd80b0d13bf7bd944f3ca167e07e3d2e","150977.933751049","No"
"0x47663667e354907c676a4c23ac1b30346e6fa4da","3826267.53626868","No"
"0x478336565ba244d5d7b406e5d925e87a2bf868f9","3186.39481779603","No"
"0x47923a4f3c02b2cfb7cc72ff97b3f67f7189357d","43856.5080862813","No"
"0x485a5b9b05d846b75acf5fa8b35ec66e9faeb074","1087244.89062624","No"
"0x49dd2aef2d93ab30b674e9f380ad781f820872a4","3752971.54644808","No"
"0x49eff18db4df0086da60ad60254906241f9fc610","2257057.88248481","No"
"0x4bdc9727795ec050a18cb533a068d12c5bc09f1e","4.73386732201991","No"
"0x4cf0d0514f4686a7281ab72121cb88663dea0a8c","1179428.29428171","No"
"0x4d54c072b25ec3aceac1de1795a52d07aade774a","30104.8657270863","No"
"0x4e43919ee76679d6d0ac442ed11d23e3a21dcd15","3829817.93639587","No"
"0x4e7790bb74dbeeed3e1d60d76aaee102aa9754bb","40357180.6569116","No"
"0x4fd3b6be0f3e9d1467a674d6091a892c626b2ef7","45499.1576868921","No"
"0x505920cf689dc11bc0fb6013c4d0ec5c59ebb7c1","770318.768716599","No"
"0x50dcc7bbb9242df2b38e6211747f17e6fe597ec1","3487691.13626362","No"
"0x50f12171c76c8e78b37170b2fa483b9d18f4dc6e","0.350609955110809","No"
"0x5184560fba0962809a297dc311d5f65b06a5a33e","4412666.27249088","No"
"0x5250add6080b3b8799b20953d290ef42d6a910c4","166855.91826808","No"
"0x5363c01c3d759a5c421b12a3d08d658a6365f9c1","4233364.98837573","No"
"0x5395bd693ce002a497a9ca81148f511c1b37ed19","114885.289841833","No"
"0x5430a4d0f4305609c25e43d87188dda9e4826a82","1434.55595306876","No"
"0x55710aa3bb05b611fcf16d02e28cc35beb89bae7","46773.6412941418","No"
